Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num AID+	Num AID+: CD20+	Num AID+: CD20+: CD4+	Num AID+: CD4+	Num AID+: Ki67+	Num AID+: Ki67+: CD20+	Num AID+: Ki67+: CD20+: CD4+	Num AID+: Ki67+: CD4+	Num CD20+	Num CD20+: CD4+	Num CD21+	Num CD21+: AID+	Num CD21+: AID+: CD20+	Num CD21+: AID+: CD20+: CD4+	Num CD21+: AID+: CD4+	Num CD21+: AID+: Ki67+	Num CD21+: AID+: Ki67+: CD20+	Num CD21+: AID+: Ki67+: CD20+: CD4+	Num CD21+: AID+: Ki67+: CD4+	Num CD21+: CD20+	Num CD21+: CD20+: CD4+	Num CD21+: CD4+	Num CD21+: Ki67+: CD20+	Num CD4+	Num Ki67+	Num Ki67+: CD20+	Num Ki67+: CD20+: CD4+	Num Ki67+: CD4+	Num PNAd+	Num PNAd+: AID+: CD20+: CD4+	Num PNAd+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD20+: CD4+	Num PNAd+: CD21+: AID+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD20+: CD4+	Num PNAd+: CD21+: AID+: Ki67+: CD4+	Num PNAd+: CD4+	Area µm^2	Perimeter µm
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	58130dff-93f5-464b-a9e4-7bc838ca7b35	Annotation		LA	Root object (Image)	Polygon	11328.1	7693.8	62	0	0	0	0	0	0	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	5724.2	627.43
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	256939ce-9124-4e31-bbf3-86fecf80236f	Annotation		LA	Root object (Image)	Polygon	5533.2	8420.3	18	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1876.5	301.8
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	50ee628c-4221-4f33-b556-8d0e0d1f8201	Annotation		LA	Root object (Image)	Polygon	4936	9138.9	30	0	0	0	0	0	0	0	0	18	2	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2286.5	270.03
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	89f46b56-285b-4475-9dcc-3c7c7fa7d27f	Annotation		LA	Root object (Image)	Polygon	4844.1	9183.5	24	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1671.5	349.45
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	b14357bb-8b75-432c-a8e2-39545aa7b5e0	Annotation		CD21+	Root object (Image)	Geometry	4850.9	9208.7	180	0	0	0	0	0	0	0	0	16	4	1	5	84	1	0	0	0	0	0	62	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14996.5	1937.9
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	865fb94c-8a5d-480b-b7bb-a9b91de88c36	Annotation		LA	Root object (Image)	Geometry	4906.4	9230.1	34	0	0	0	0	0	0	0	0	17	2	0	0	1	0	0	0	0	0	0	5	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	3011.9	651.25
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	3f5928f5-04e0-4d95-a008-5803e92d41fa	Annotation		LA	Root object (Image)	Geometry	4768.8	9256	119	0	1	0	0	0	0	1	0	56	15	0	0	1	1	0	0	0	0	0	10	2	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	10029.2	1278.7
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	4ac67394-f0f5-4020-87f3-20e27dae62ae	Annotation		CD21+	Root object (Image)	Geometry	7269.1	10284	131	0	0	0	0	0	0	0	0	24	1	16	24	22	0	2	0	0	0	0	3	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11054.2	1096
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	f30a75ad-05a9-48e3-875e-e3f6727ef04d	Annotation		LA	Root object (Image)	Geometry	7310.3	10314.9	937	0	1	0	0	0	0	0	0	275	35	0	0	0	0	0	0	0	0	0	0	0	0	0	276	7	0	0	3	0	0	0	0	0	0	0	0	77694.9	5225.9
PBC-PR-6403_1A_Scan1.qptiff - resolution #1	56bf9aa8-330a-4706-afeb-8a6d781fb881	Annotation		LA	Root object (Image)	Polygon	7392.8	10673.6	44	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	1	1	0	0	0	0	0	0	0	0	4194.6	484.47
